sem_study,direction,T,n,rho,Model,param,N_valid,mean_bias,mean_rel_bias,RMSE,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_rhat
Study A: indicator-skew,+-,100,100,0.3,EI: Exponential at indicator,mu[1],90,0.12281705550139715,0.12281705550139715,0.24265122410256895,0.7222222222222222,0.1486356738542033,0.2092739530769223,-0.060638279222719,4.087950033316834
Study A: indicator-skew,+-,100,100,0.3,EI: Exponential at indicator,mu[2],90,-0.15280220760727137,-0.15280220760727137,0.32342044421426475,0.7222222222222222,0.15787085246516305,0.2850478364873108,-0.12717698402214775,4.087950033316834
Study A: indicator-skew,+-,100,100,0.3,EI: Exponential at indicator,rho,90,0.1803729457547621,0.6012431525158737,0.70605410830063,0.22222222222222215,0.2026085367131299,0.6826258157204044,-0.4800172790072745,4.087950033316834
Study A: indicator-skew,+-,100,100,0.3,EL: Exponential at latent,mu[1],90,0.22301110741317215,0.22301110741317215,0.3524224879608764,0.711111111111111,0.19817628841307633,0.2728876252065759,-0.07471133679349956,1.4161849948219
Study A: indicator-skew,+-,100,100,0.3,EL: Exponential at latent,mu[2],90,-0.2483520319906805,-0.2483520319906805,0.4385779336456506,0.6777777777777777,0.1967914323072708,0.36148564575510983,-0.16469421344783902,1.4161849948219
Study A: indicator-skew,+-,100,100,0.3,EL: Exponential at latent,rho,90,0.02381467815288926,0.07938226050963085,0.596344477548308,0.2111111111111111,0.14565333839914024,0.5958687749889557,-0.4502154365898155,1.4161849948219
Study A: indicator-skew,+-,200,200,0.3,EI: Exponential at indicator,mu[1],90,0.11410882579940526,0.11410882579940526,0.30585071735917246,0.6333333333333333,0.13749177770446547,0.2837672235896905,-0.146275445885225,20.35330698690123
Study A: indicator-skew,+-,200,200,0.3,EI: Exponential at indicator,mu[2],90,-0.18464148524491697,-0.18464148524491697,0.38583542634167584,0.5888888888888889,0.16675790401005022,0.33878680338350525,-0.17202889937345503,20.35330698690123
Study A: indicator-skew,+-,200,200,0.3,EI: Exponential at indicator,rho,90,0.06080974839812668,0.20269916132708884,0.6093551603056386,0.5333333333333334,0.458196403275372,0.6063133561871016,-0.1481169529117296,20.35330698690123
Study A: indicator-skew,+-,200,200,0.3,EL: Exponential at latent,mu[1],90,0.37448699596005897,0.37448699596005897,0.5453058831248672,0.5555555555555556,0.2804018041008972,0.3963811247113088,-0.11597932061041161,10.538208336145
Study A: indicator-skew,+-,200,200,0.3,EL: Exponential at latent,mu[2],90,-0.4095091289020848,-0.4095091289020848,0.6069549989926681,0.5444444444444445,0.27879724214649626,0.4479917902685778,-0.16919454812208157,10.538208336145
Study A: indicator-skew,+-,200,200,0.3,EL: Exponential at latent,rho,90,-0.06086791270253142,-0.20289304234177147,0.5495832496322144,0.5666666666666667,0.39368070412867895,0.5462022020090562,-0.15252149788037728,10.538208336145
Study B: latent-skew,++,100,100,0.3,EI: Exponential at indicator,mu[1],90,-0.07189347903515461,-0.07189347903515461,0.39750080593084286,0.5333333333333333,0.2008600476905583,0.39094528822827807,-0.19008524053771977,41.889870365940496
Study B: latent-skew,++,100,100,0.3,EI: Exponential at indicator,mu[2],90,-0.04273930233315502,-0.04273930233315502,0.25139450733255375,1,0.1936109510481576,0.2477348387955408,-0.05412388774738322,41.889870365940496
Study B: latent-skew,++,100,100,0.3,EI: Exponential at indicator,rho,90,-0.09762869844631789,-0.32542899482105964,0.4944080454180251,0.8,0.703786683826749,0.484673036813221,0.21911364701352803,41.889870365940496
Study B: latent-skew,++,100,100,0.3,EL: Exponential at latent,mu[1],90,-0.17859122176356731,-0.17859122176356731,0.4996610389567201,0.3555555555555555,0.14801445600802274,0.466654400343879,-0.3186399443358563,524.4493989076375
Study B: latent-skew,++,100,100,0.3,EL: Exponential at latent,mu[2],90,-0.12104732111581236,-0.12104732111581236,0.6933053423900657,0.32222222222222224,0.17249732673685975,0.6826564610675648,-0.510159134330705,524.4493989076375
Study B: latent-skew,++,100,100,0.3,EL: Exponential at latent,rho,90,-0.075034762297096,-0.2501158743236533,0.5433476425179261,0.7444444444444445,0.6661606607120951,0.5381416589308119,0.12801900178128323,524.4493989076375
Study B: latent-skew,++,200,200,0.3,EI: Exponential at indicator,mu[1],90,-0.08017425632974132,-0.08017425632974132,0.5120895230141365,0.2333333333333333,0.20867839304154143,0.5057744242276577,-0.29709603118611627,109.11845044689288
Study B: latent-skew,++,200,200,0.3,EI: Exponential at indicator,mu[2],90,-0.04550729813128597,-0.04550729813128597,0.30538318690198385,0.8111111111111112,0.18589772242109215,0.30197347012478143,-0.11607574770368928,109.11845044689288
Study B: latent-skew,++,200,200,0.3,EI: Exponential at indicator,rho,90,-0.172996782071521,-0.5766559402384033,0.5352741503596639,0.8333333333333333,0.7342990702863548,0.5065476576159036,0.22775141267045118,109.11845044689288
Study B: latent-skew,++,200,200,0.3,EL: Exponential at latent,mu[1],90,-0.10741295284598253,-0.10741295284598253,0.48234864148850054,0.42222222222222217,0.16806251190207452,0.4702368227890163,-0.3021743108869418,1151.8088318582388
Study B: latent-skew,++,200,200,0.3,EL: Exponential at latent,mu[2],90,-0.1859905359683675,-0.1859905359683675,0.7333728694910863,0.3111111111111111,0.18906070768097,0.709396423895546,-0.5203357162145761,1151.8088318582388
Study B: latent-skew,++,200,200,0.3,EL: Exponential at latent,rho,90,-0.0794723365854262,-0.26490778861808745,0.5402047010905097,0.7666666666666667,0.6809324660082176,0.5343269287598554,0.14660553724836212,1151.8088318582388
Study B: latent-skew,+-,100,100,0.3,EI: Exponential at indicator,mu[1],90,0.09940259900526652,0.09940259900526652,0.32322343665354364,0.788888888888889,0.19956074371795024,0.3075589590844746,-0.10799821536652437,31.569718182454977
Study B: latent-skew,+-,100,100,0.3,EI: Exponential at indicator,mu[2],90,-0.05532270699973175,-0.05532270699973175,0.23182545392958517,0.9666666666666668,0.2062278010007949,0.2251276064366164,-0.018899805435821482,31.569718182454977
Study B: latent-skew,+-,100,100,0.3,EI: Exponential at indicator,rho,90,-0.5552794168984242,-1.850931389661414,0.8169000453689493,0.6222222222222222,0.5448500007949858,0.5991581204429576,-0.054308119647971775,31.569718182454977
Study B: latent-skew,+-,100,100,0.3,EL: Exponential at latent,mu[1],90,-0.01913595940949782,-0.01913595940949782,0.43579777904032424,0.4666666666666666,0.16885222185295645,0.43537744460864913,-0.2665252227556927,470.4554632272763
Study B: latent-skew,+-,100,100,0.3,EL: Exponential at latent,mu[2],90,0.07135897088730948,0.07135897088730948,0.5518249240521754,0.4444444444444444,0.19078907132580805,0.5471915972299769,-0.3564025259041689,470.4554632272763
Study B: latent-skew,+-,100,100,0.3,EL: Exponential at latent,rho,90,-0.5430217876900383,-1.810072625633461,0.7295860100471429,0.788888888888889,0.7095133043909275,0.4872607968536199,0.22225250753730763,470.4554632272763
Study B: latent-skew,+-,200,200,0.3,EI: Exponential at indicator,mu[1],90,0.066247777152051393,0.066247777152051393,0.40675233607368527,0.5222222222222223,0.2214849300673208,0.4013211867367736,-0.17983625666945277,93.55482373533036
Study B: latent-skew,+-,200,200,0.3,EI: Exponential at indicator,mu[2],90,-0.13847247537566426,-0.13847247537566426,0.3441443886100616,0.8222222222222223,0.22093858122669033,0.3150567151722514,-0.0941181339455611,93.55482373533036
Study B: latent-skew,+-,200,200,0.3,EI: Exponential at indicator,rho,90,-0.4960853921228683,-1.6536179737428944,0.7516451704466648,0.7333333333333333,0.6433679500345305,0.5646855283944293,0.0786824216401012,93.55482373533036
Study B: latent-skew,+-,200,200,0.3,EL: Exponential at latent,mu[1],90,-0.07609925422325778,-0.07609925422325778,0.48764531976602865,0.4,0.17031505458272014,0.4816709056984616,-0.3113558511157415,1149.0287811607936
Study B: latent-skew,+-,200,200,0.3,EL: Exponential at latent,mu[2],90,0.09665002867006268,0.09665002867006268,0.560487024814278,0.47777777777777775,0.19387910745981005,0.5520910042223448,-0.35821189676253473,1149.0287811607936
Study B: latent-skew,+-,200,200,0.3,EL: Exponential at latent,rho,90,-0.5747014301039387,-1.915671433679796,0.7534758511012486,0.8,0.7073086687034582,0.48728238674226526,0.22002628196119295,1149.0287811607936
